N2O6Pb,Lead(II) nitrate,-451.9,,,,,,,,
N2O6Ra,Radium nitrate,-992.0,,,-796.1,,,222.0,,
N2O6Sr,Strontium nitrate,-978.2,,,-780.0,,,194.6,,
N2O6Zn,Zinc nitrate,-483.7,,,,,,,,
N3Na,Sodium azide,21.7,,,93.8,,,96.9,,
N4Si3,Silicon nitride,-743.5,,,-642.6,,,101.3,,
Na,Sodium,0.0,,107.5,,,77.0,51.3,,153.7
NaO2,Sodium superoxide,-260.2,,,-218.4,,,115.9,,
Na2,Disodium,,,142.1,,,103.9,,,230.2
Na2O2,Sodium peroxide,-510.9,,,-447.7,,,95.0,,
Na2O3S,Sodium sulfite,-1100.8,,,-1012.5,,,145.9,,
Na2O3Si,Sodium metasilicate,-1554.9,,,-1462.8,,,113.9,,
Na2O4S,Sodium sulfate,-1387.1,,,-1270.2,,,149.6,,
Na2S,Sodium sulfide,-364.8,,,-349.8,,,83.7,,
Nb,Niobium,0.0,,725.9,,,681.1,36.4,,186.3
NbO,Niobium(II) oxide,-405.8,,,-378.6,,,48.1,,
NbO2,Niobium(IV) oxide,-796.2,,,-740.5,,,54.5,,
Nb2O5,Niobium(V) oxide,-1899.5,,,-1766.0,,,137.2,,
Nd,Neodymium,0.0,,327.6,,,292.4,71.5,,189.4
Nd2O3,Neodymium oxide,-1807.9,,,-1720.8,,,158.6,,
Ne,Neon,,,0.0,,,,,,146.3
Ni,Nickel,0.0,,429.7,,,384.5,29.9,,182.2
NiO4S,Nickel(II) sulfate,-872.9,,,-759.7,,,92.0,,
NiS,Nickel(II) sulfide,-82.0,,,-79.5,,,53.0,,
Ni2O3,Nickel(III) oxide,-489.5,,,,,,,,
No,Nobelium,0.0,,,,,,,,
O,Oxygen (atomic),,,249.2,,,231.7,,,161.1
